filename,width,height,class,xmin,ymin,xmax,ymax
000000000612.jpg,640,480,bed,117,235,543,475
000000000612.jpg,640,480,teddy bear,320,271,391,359
000000000612.jpg,640,480,teddy bear,260,281,322,362
000000000612.jpg,640,480,teddy bear,268,249,392,358
000000000612.jpg,640,480,teddy bear,355,218,428,299
000000000612.jpg,640,480,teddy bear,423,247,457,285
000000000612.jpg,640,480,teddy bear,180,189,284,286
000000000612.jpg,640,480,teddy bear,328,242,371,260
000000000612.jpg,640,480,teddy bear,390,254,448,320
000000000612.jpg,640,480,teddy bear,402,285,541,389
000000000612.jpg,640,480,teddy bear,337,178,387,236
000000000389.jpg,640,480,tie,306,300,372,479
000000000389.jpg,640,480,person,0,256,141,478
000000000389.jpg,640,480,person,467,292,565,480
000000000389.jpg,640,480,person,91,249,183,420
000000000389.jpg,640,480,person,566,270,640,395
000000000389.jpg,640,480,person,41,172,55,217
000000000389.jpg,640,480,person,170,285,218,332
000000000389.jpg,640,480,person,429,257,473,305
000000000389.jpg,640,480,person,394,242,427,269
000000000389.jpg,640,480,person,562,371,639,479
000000000389.jpg,640,480,backpack,385,266,463,480
000000000389.jpg,640,480,person,140,84,509,473
000000000389.jpg,640,480,person,517,269,525,279
000000000389.jpg,640,480,person,516,269,590,415
000000000438.jpg,640,480,donut,189,272,336,376
000000000438.jpg,640,480,donut,37,226,158,303
000000000438.jpg,640,480,donut,168,212,315,320
000000000438.jpg,640,480,donut,178,142,318,248
000000000438.jpg,640,480,donut,58,160,180,254
000000000438.jpg,640,480,donut,50,101,176,186
000000000438.jpg,640,480,donut,480,197,600,312
000000000438.jpg,640,480,donut,472,101,594,203
000000000438.jpg,640,480,donut,36,322,191,442
000000000438.jpg,640,480,donut,478,310,611,455
000000000438.jpg,640,480,donut,321,332,491,456
000000000438.jpg,640,480,donut,168,362,334,453
000000000438.jpg,640,480,donut,310,151,394,341
000000000404.jpg,426,640,boat,54,359,368,446
000000000404.jpg,426,640,boat,192,359,391,405
000000000404.jpg,426,640,boat,252,354,409,383
000000000404.jpg,426,640,boat,263,357,349,374
000000000404.jpg,426,640,boat,272,355,297,366
000000000564.jpg,520,640,person,230,335,377,614
000000000564.jpg,520,640,person,430,203,520,297
000000000564.jpg,520,640,tennis racket,296,432,402,473
000000000564.jpg,520,640,chair,62,234,106,256
000000000564.jpg,520,640,chair,108,232,154,257
000000000564.jpg,520,640,chair,202,230,250,256
000000000564.jpg,520,640,chair,245,307,301,336
000000000564.jpg,520,640,chair,135,258,185,288
000000000564.jpg,520,640,chair,88,256,139,282
000000000564.jpg,520,640,chair,39,260,86,284
000000000564.jpg,520,640,chair,13,235,61,258
000000000564.jpg,520,640,chair,412,304,473,350
000000000564.jpg,520,640,chair,325,279,377,300
000000000564.jpg,520,640,chair,303,307,354,334
000000000564.jpg,520,640,chair,233,228,299,306
000000000564.jpg,520,640,chair,152,232,201,274
000000000149.jpg,640,428,person,388,324,397,337
